trial_index,audio_filename,condition
1,ADR_long_grammatical/A2B2A1B1A3B3_184.wav,long_grammatical
2,ADR_long_grammatical/A2B2A3B3A1B1_228.wav,long_grammatical
3,ADR_short_grammatical/A3B3A2B2_89.wav,short_grammatical
4,ADR_long_grammatical/A3B3A2B2A1B1_380.wav,long_grammatical
5,ADR_long_grammatical/A1B1A3B3A2B2_115.wav,long_grammatical
6,ADR_long_grammatical/A2B2A3B3A1B1_236.wav,long_grammatical
7,ADR_long_grammatical/A3B3A1B1A2B2_289.wav,long_grammatical
8,ADR_short_grammatical/A1B1A3B3_39.wav,short_grammatical
9,ADR_long_grammatical/A2B2A3B3A1B1_212.wav,long_grammatical
10,ADR_long_grammatical/A2B2A3B3A1B1_243.wav,long_grammatical
11,ADR_long_grammatical/A1B1A3B3A2B2_95.wav,long_grammatical
12,ADR_long_grammatical/A1B1A2B2A3B3_20.wav,long_grammatical
13,ADR_short_grammatical/A2B2A3B3_79.wav,short_grammatical
14,ADR_long_grammatical/A3B3A1B1A2B2_296.wav,long_grammatical
15,ADR_long_concatenation/A2B2A3B3A1B1_2.wav,long_concatenation
16,ADR_long_grammatical/A1B1A3B3A2B2_89.wav,long_grammatical
17,ADR_long_grammatical/A2B2A1B1A3B3_172.wav,long_grammatical
18,ADR_long_grammatical/A1B1A3B3A2B2_64.wav,long_grammatical
19,ADR_long_grammatical/A3B3A1B1A2B2_294.wav,long_grammatical
20,ADR_long_replacement/A3B3A1B1A2B2_20.wav,long_replacement
21,ADR_long_concatenation/A3B3A2B2A1B1_16.wav,long_concatenation
22,ADR_short_concatenation/A1B1A3B3_22.wav,short_concatenation
23,ADR_long_replacement/A2B2A3B3A1B1_13.wav,long_replacement
24,ADR_short_grammatical/A3B3A2B2_81.wav,short_grammatical
25,ADR_long_grammatical/A1B1A2B2A3B3_56.wav,long_grammatical
26,ADR_short_grammatical/A1B1A3B3_37.wav,short_grammatical
27,ADR_long_grammatical/A1B1A3B3A2B2_98.wav,long_grammatical
28,ADR_long_grammatical/A2B2A3B3A1B1_233.wav,long_grammatical
29,ADR_short_grammatical/A3B3A2B2_83.wav,short_grammatical
30,ADR_long_grammatical/A1B1A3B3A2B2_120.wav,long_grammatical
31,ADR_long_grammatical/A3B3A1B1A2B2_304.wav,long_grammatical
32,ADR_short_grammatical/A2B2A3B3_77.wav,short_grammatical
33,ADR_long_grammatical/A1B1A2B2A3B3_45.wav,long_grammatical
34,ADR_long_replacement/A1B1A3B3A2B2_46.wav,long_replacement
35,ADR_short_concatenation/A3B3A2B2_16.wav,short_concatenation
36,ADR_long_grammatical/A2B2A3B3A1B1_215.wav,long_grammatical
37,ADR_long_grammatical/A1B1A2B2A3B3_5.wav,long_grammatical
38,ADR_short_grammatical/A1B1A2B2_3.wav,short_grammatical
39,ADR_long_grammatical/A2B2A3B3A1B1_226.wav,long_grammatical
40,ADR_long_grammatical/A1B1A3B3A2B2_92.wav,long_grammatical
41,ADR_long_grammatical/A3B3A1B1A2B2_318.wav,long_grammatical
42,ADR_long_grammatical/A1B1A3B3A2B2_85.wav,long_grammatical
43,ADR_long_grammatical/A1B1A2B2A3B3_2.wav,long_grammatical
44,ADR_short_replacement/A3B3A2B2_26.wav,short_replacement
45,ADR_long_grammatical/A3B3A1B1A2B2_302.wav,long_grammatical
46,ADR_long_grammatical/A3B3A2B2A1B1_379.wav,long_grammatical
47,ADR_long_grammatical/A1B1A2B2A3B3_53.wav,long_grammatical
48,ADR_long_replacement/A3B3A2B2A1B1_18.wav,long_replacement
49,ADR_long_grammatical/A2B2A1B1A3B3_157.wav,long_grammatical
50,ADR_long_grammatical/A1B1A3B3A2B2_81.wav,long_grammatical
51,ADR_long_grammatical/A3B3A2B2A1B1_374.wav,long_grammatical
52,ADR_long_grammatical/A1B1A3B3A2B2_112.wav,long_grammatical
53,ADR_long_grammatical/A3B3A1B1A2B2_300.wav,long_grammatical
54,ADR_long_grammatical/A1B1A3B3A2B2_91.wav,long_grammatical
