trial_index,audio_filename,condition
1,ADR_long_grammatical/A1B1A2B2A3B3_34.wav,long_grammatical
2,ADR_long_concatenation/A2B2A3B3A1B1_26.wav,long_concatenation
3,ADR_long_grammatical/A1B1A2B2A3B3_63.wav,long_grammatical
4,ADR_long_grammatical/A2B2A1B1A3B3_187.wav,long_grammatical
5,ADR_long_grammatical/A1B1A2B2A3B3_25.wav,long_grammatical
6,ADR_long_grammatical/A2B2A3B3A1B1_242.wav,long_grammatical
7,ADR_long_grammatical/A2B2A1B1A3B3_141.wav,long_grammatical
8,ADR_long_grammatical/A1B1A2B2A3B3_27.wav,long_grammatical
9,ADR_long_grammatical/A1B1A2B2A3B3_56.wav,long_grammatical
10,ADR_long_grammatical/A1B1A2B2A3B3_54.wav,long_grammatical
11,ADR_long_replacement/A2B2A3B3A1B1_5.wav,long_replacement
12,ADR_long_grammatical/A1B1A3B3A2B2_113.wav,long_grammatical
13,ADR_long_grammatical/A3B3A2B2A1B1_362.wav,long_grammatical
14,ADR_long_grammatical/A2B2A3B3A1B1_195.wav,long_grammatical
15,ADR_long_grammatical/A2B2A3B3A1B1_228.wav,long_grammatical
16,ADR_long_grammatical/A3B3A2B2A1B1_330.wav,long_grammatical
17,ADR_long_grammatical/A3B3A1B1A2B2_299.wav,long_grammatical
18,ADR_long_grammatical/A3B3A2B2A1B1_359.wav,long_grammatical
19,ADR_long_grammatical/A3B3A1B1A2B2_286.wav,long_grammatical
20,ADR_long_replacement/A2B2A1B1A3B3_36.wav,long_replacement
21,ADR_long_grammatical/A3B3A1B1A2B2_288.wav,long_grammatical
22,ADR_long_grammatical/A2B2A1B1A3B3_146.wav,long_grammatical
23,ADR_long_grammatical/A1B1A2B2A3B3_35.wav,long_grammatical
24,ADR_long_grammatical/A2B2A3B3A1B1_218.wav,long_grammatical
25,ADR_long_replacement/A2B2A3B3A1B1_48.wav,long_replacement
26,ADR_long_grammatical/A3B3A1B1A2B2_296.wav,long_grammatical
27,ADR_long_grammatical/A2B2A1B1A3B3_147.wav,long_grammatical
28,ADR_long_grammatical/A3B3A2B2A1B1_380.wav,long_grammatical
29,ADR_long_grammatical/A2B2A3B3A1B1_220.wav,long_grammatical
30,ADR_long_grammatical/A3B3A2B2A1B1_341.wav,long_grammatical
31,ADR_long_concatenation/A1B1A2B2A3B3_6.wav,long_concatenation
32,ADR_long_concatenation/A1B1A3B3A2B2_13.wav,long_concatenation
33,ADR_long_grammatical/A1B1A3B3A2B2_88.wav,long_grammatical
34,ADR_long_grammatical/A2B2A3B3A1B1_221.wav,long_grammatical
35,ADR_long_grammatical/A2B2A1B1A3B3_165.wav,long_grammatical
36,ADR_long_grammatical/A1B1A2B2A3B3_59.wav,long_grammatical
37,ADR_long_grammatical/A3B3A1B1A2B2_269.wav,long_grammatical
38,ADR_long_concatenation/A1B1A3B3A2B2_39.wav,long_concatenation
39,ADR_long_grammatical/A2B2A3B3A1B1_238.wav,long_grammatical
40,ADR_long_grammatical/A3B3A2B2A1B1_338.wav,long_grammatical
41,ADR_long_grammatical/A3B3A2B2A1B1_340.wav,long_grammatical
42,ADR_long_concatenation/A3B3A2B2A1B1_27.wav,long_concatenation
43,ADR_long_grammatical/A2B2A3B3A1B1_244.wav,long_grammatical
44,ADR_long_grammatical/A1B1A2B2A3B3_18.wav,long_grammatical
45,ADR_long_grammatical/A3B3A1B1A2B2_287.wav,long_grammatical
46,ADR_long_grammatical/A2B2A3B3A1B1_243.wav,long_grammatical
47,ADR_long_grammatical/A3B3A1B1A2B2_292.wav,long_grammatical
48,ADR_long_grammatical/A2B2A3B3A1B1_235.wav,long_grammatical
49,ADR_long_grammatical/A1B1A2B2A3B3_13.wav,long_grammatical
50,ADR_long_grammatical/A3B3A1B1A2B2_275.wav,long_grammatical
51,ADR_long_grammatical/A1B1A2B2A3B3_7.wav,long_grammatical
52,ADR_long_replacement/A3B3A1B1A2B2_10.wav,long_replacement
53,ADR_long_grammatical/A1B1A2B2A3B3_52.wav,long_grammatical
54,ADR_long_grammatical/A1B1A3B3A2B2_99.wav,long_grammatical
55,ADR_long_grammatical/A3B3A1B1A2B2_317.wav,long_grammatical
56,ADR_long_grammatical/A2B2A1B1A3B3_178.wav,long_grammatical
57,ADR_long_concatenation/A3B3A2B2A1B1_16.wav,long_concatenation
58,ADR_long_grammatical/A1B1A2B2A3B3_10.wav,long_grammatical
59,ADR_long_grammatical/A2B2A1B1A3B3_144.wav,long_grammatical
60,ADR_long_grammatical/A2B2A1B1A3B3_143.wav,long_grammatical
61,ADR_long_concatenation/A3B3A2B2A1B1_14.wav,long_concatenation
62,ADR_long_grammatical/A2B2A3B3A1B1_204.wav,long_grammatical
63,ADR_long_grammatical/A2B2A3B3A1B1_217.wav,long_grammatical
64,ADR_long_replacement/A2B2A3B3A1B1_13.wav,long_replacement
65,ADR_long_grammatical/A3B3A1B1A2B2_312.wav,long_grammatical
66,ADR_long_grammatical/A2B2A3B3A1B1_212.wav,long_grammatical
67,ADR_long_grammatical/A1B1A3B3A2B2_71.wav,long_grammatical
68,ADR_long_grammatical/A3B3A2B2A1B1_320.wav,long_grammatical
69,ADR_long_concatenation/A3B3A2B2A1B1_37.wav,long_concatenation
70,ADR_long_grammatical/A3B3A1B1A2B2_257.wav,long_grammatical
71,ADR_long_grammatical/A1B1A2B2A3B3_41.wav,long_grammatical
72,ADR_long_grammatical/A3B3A2B2A1B1_369.wav,long_grammatical
73,ADR_long_grammatical/A2B2A1B1A3B3_179.wav,long_grammatical
74,ADR_long_replacement/A2B2A3B3A1B1_49.wav,long_replacement
75,ADR_long_grammatical/A3B3A1B1A2B2_294.wav,long_grammatical
76,ADR_long_grammatical/A1B1A3B3A2B2_117.wav,long_grammatical
77,ADR_long_grammatical/A1B1A3B3A2B2_78.wav,long_grammatical
78,ADR_long_grammatical/A2B2A3B3A1B1_247.wav,long_grammatical
79,ADR_long_grammatical/A3B3A2B2A1B1_331.wav,long_grammatical
80,ADR_long_grammatical/A2B2A1B1A3B3_137.wav,long_grammatical
81,ADR_long_grammatical/A2B2A3B3A1B1_248.wav,long_grammatical
82,ADR_long_replacement/A3B3A2B2A1B1_31.wav,long_replacement
83,ADR_long_grammatical/A3B3A2B2A1B1_352.wav,long_grammatical
84,ADR_long_grammatical/A3B3A2B2A1B1_346.wav,long_grammatical
85,ADR_long_concatenation/A1B1A2B2A3B3_17.wav,long_concatenation
86,ADR_long_grammatical/A2B2A3B3A1B1_198.wav,long_grammatical
87,ADR_long_grammatical/A3B3A2B2A1B1_334.wav,long_grammatical
88,ADR_long_grammatical/A2B2A3B3A1B1_249.wav,long_grammatical
89,ADR_long_grammatical/A1B1A2B2A3B3_50.wav,long_grammatical
90,ADR_long_grammatical/A3B3A1B1A2B2_295.wav,long_grammatical
91,ADR_long_concatenation/A1B1A3B3A2B2_19.wav,long_concatenation
92,ADR_long_concatenation/A2B2A1B1A3B3_34.wav,long_concatenation
93,ADR_long_grammatical/A2B2A1B1A3B3_145.wav,long_grammatical
94,ADR_long_grammatical/A2B2A1B1A3B3_154.wav,long_grammatical
95,ADR_long_grammatical/A3B3A1B1A2B2_297.wav,long_grammatical
96,ADR_long_grammatical/A1B1A3B3A2B2_80.wav,long_grammatical
97,ADR_long_grammatical/A2B2A3B3A1B1_245.wav,long_grammatical
98,ADR_long_grammatical/A3B3A1B1A2B2_302.wav,long_grammatical
99,ADR_long_grammatical/A3B3A1B1A2B2_310.wav,long_grammatical
100,ADR_long_grammatical/A3B3A1B1A2B2_284.wav,long_grammatical
101,ADR_long_grammatical/A3B3A2B2A1B1_358.wav,long_grammatical
102,ADR_long_grammatical/A1B1A3B3A2B2_94.wav,long_grammatical
103,ADR_long_replacement/A3B3A1B1A2B2_45.wav,long_replacement
104,ADR_long_grammatical/A2B2A1B1A3B3_152.wav,long_grammatical
105,ADR_long_grammatical/A1B1A2B2A3B3_29.wav,long_grammatical
106,ADR_long_grammatical/A1B1A3B3A2B2_114.wav,long_grammatical
107,ADR_long_grammatical/A1B1A2B2A3B3_38.wav,long_grammatical
108,ADR_long_grammatical/A3B3A2B2A1B1_368.wav,long_grammatical
109,ADR_long_replacement/A2B2A3B3A1B1_9.wav,long_replacement
110,ADR_long_replacement/A2B2A1B1A3B3_41.wav,long_replacement
111,ADR_long_grammatical/A1B1A2B2A3B3_39.wav,long_grammatical
112,ADR_long_replacement/A3B3A1B1A2B2_4.wav,long_replacement
113,ADR_long_grammatical/A3B3A2B2A1B1_374.wav,long_grammatical
114,ADR_long_grammatical/A2B2A3B3A1B1_209.wav,long_grammatical
115,ADR_long_grammatical/A3B3A2B2A1B1_370.wav,long_grammatical
116,ADR_long_grammatical/A2B2A1B1A3B3_181.wav,long_grammatical
117,ADR_long_grammatical/A1B1A3B3A2B2_120.wav,long_grammatical
118,ADR_long_grammatical/A3B3A2B2A1B1_336.wav,long_grammatical
119,ADR_long_grammatical/A2B2A1B1A3B3_170.wav,long_grammatical
120,ADR_long_replacement/A3B3A2B2A1B1_22.wav,long_replacement
121,ADR_long_grammatical/A1B1A3B3A2B2_91.wav,long_grammatical
122,ADR_long_grammatical/A2B2A3B3A1B1_254.wav,long_grammatical
123,ADR_long_grammatical/A2B2A1B1A3B3_166.wav,long_grammatical
124,ADR_long_grammatical/A3B3A2B2A1B1_351.wav,long_grammatical
125,ADR_long_grammatical/A1B1A3B3A2B2_103.wav,long_grammatical
126,ADR_long_grammatical/A2B2A1B1A3B3_129.wav,long_grammatical
127,ADR_long_grammatical/A1B1A2B2A3B3_40.wav,long_grammatical
128,ADR_long_grammatical/A1B1A2B2A3B3_20.wav,long_grammatical
129,ADR_long_grammatical/A1B1A3B3A2B2_85.wav,long_grammatical
130,ADR_long_replacement/A1B1A2B2A3B3_19.wav,long_replacement
131,ADR_long_grammatical/A1B1A3B3A2B2_90.wav,long_grammatical
132,ADR_long_grammatical/A3B3A1B1A2B2_270.wav,long_grammatical
133,ADR_long_grammatical/A2B2A3B3A1B1_227.wav,long_grammatical
134,ADR_long_grammatical/A3B3A1B1A2B2_281.wav,long_grammatical
135,ADR_long_grammatical/A1B1A3B3A2B2_77.wav,long_grammatical
136,ADR_long_grammatical/A2B2A1B1A3B3_158.wav,long_grammatical
137,ADR_long_grammatical/A2B2A3B3A1B1_240.wav,long_grammatical
138,ADR_long_grammatical/A3B3A2B2A1B1_365.wav,long_grammatical
139,ADR_long_grammatical/A1B1A2B2A3B3_30.wav,long_grammatical
140,ADR_long_grammatical/A2B2A1B1A3B3_148.wav,long_grammatical
141,ADR_long_grammatical/A1B1A2B2A3B3_33.wav,long_grammatical
142,ADR_long_concatenation/A3B3A2B2A1B1_45.wav,long_concatenation
143,ADR_long_grammatical/A2B2A3B3A1B1_219.wav,long_grammatical
144,ADR_long_grammatical/A2B2A3B3A1B1_241.wav,long_grammatical
145,ADR_long_concatenation/A2B2A3B3A1B1_2.wav,long_concatenation
146,ADR_long_grammatical/A2B2A3B3A1B1_207.wav,long_grammatical
147,ADR_long_replacement/A1B1A2B2A3B3_35.wav,long_replacement
148,ADR_long_grammatical/A1B1A2B2A3B3_49.wav,long_grammatical
