trial_index,audio_filename,condition
1,ADR_long_grammatical/A1B1A2B2A3B3_6.wav,long_grammatical
2,ADR_long_concatenation/A1B1A2B2A3B3_11.wav,long_concatenation
3,ADR_long_replacement/A2B2A1B1A3B3_8.wav,long_replacement
4,ADR_long_grammatical/A1B1A3B3A2B2_68.wav,long_grammatical
5,ADR_long_grammatical/A1B1A3B3A2B2_100.wav,long_grammatical
6,ADR_long_grammatical/A2B2A1B1A3B3_140.wav,long_grammatical
7,ADR_long_grammatical/A3B3A1B1A2B2_272.wav,long_grammatical
8,ADR_long_grammatical/A2B2A1B1A3B3_139.wav,long_grammatical
9,ADR_long_grammatical/A2B2A3B3A1B1_229.wav,long_grammatical
10,ADR_long_grammatical/A3B3A1B1A2B2_282.wav,long_grammatical
11,ADR_long_grammatical/A3B3A2B2A1B1_339.wav,long_grammatical
12,ADR_long_grammatical/A2B2A1B1A3B3_188.wav,long_grammatical
13,ADR_long_grammatical/A3B3A1B1A2B2_318.wav,long_grammatical
14,ADR_long_grammatical/A1B1A2B2A3B3_24.wav,long_grammatical
15,ADR_long_concatenation/A2B2A3B3A1B1_31.wav,long_concatenation
16,ADR_long_grammatical/A2B2A1B1A3B3_168.wav,long_grammatical
17,ADR_long_grammatical/A3B3A1B1A2B2_319.wav,long_grammatical
18,ADR_long_replacement/A2B2A1B1A3B3_1.wav,long_replacement
19,ADR_long_concatenation/A2B2A1B1A3B3_0.wav,long_concatenation
20,ADR_long_grammatical/A1B1A2B2A3B3_22.wav,long_grammatical
21,ADR_long_grammatical/A3B3A2B2A1B1_342.wav,long_grammatical
22,ADR_long_grammatical/A1B1A3B3A2B2_101.wav,long_grammatical
23,ADR_long_replacement/A1B1A3B3A2B2_47.wav,long_replacement
24,ADR_long_grammatical/A3B3A2B2A1B1_381.wav,long_grammatical
25,ADR_long_grammatical/A2B2A1B1A3B3_172.wav,long_grammatical
26,ADR_long_grammatical/A1B1A2B2A3B3_2.wav,long_grammatical
