trial_index,audio_filename,condition
1,HDR_long_grammatical/A1A2A3B3B2B1_1.wav,long_grammatical
2,HDR_long_grammatical/A3A2A1B1B2B3_372.wav,long_grammatical
3,HDR_long_grammatical/A3A2A1B1B2B3_366.wav,long_grammatical
4,HDR_long_grammatical/A3A1A2B2B1B3_147.wav,long_grammatical
5,HDR_long_grammatical/A1A3A2B2B3B1_264.wav,long_grammatical
6,HDR_long_grammatical/A2A1A3B3B1B2_246.wav,long_grammatical
7,HDR_long_concatenation/A1A2A3B3B2B1_26.wav,long_concatenation
8,HDR_long_concatenation/A3A2A1B1B2B3_10.wav,long_concatenation
9,HDR_long_concatenation/A2A3A1B1B3B2_43.wav,long_concatenation
10,HDR_long_grammatical/A2A3A1B1B3B2_113.wav,long_grammatical
11,HDR_long_grammatical/A3A1A2B2B1B3_177.wav,long_grammatical
12,HDR_long_grammatical/A1A3A2B2B3B1_278.wav,long_grammatical
13,HDR_long_grammatical/A3A1A2B2B1B3_135.wav,long_grammatical
14,HDR_long_replacement/A2A1A3B3B1B2_33.wav,long_replacement
15,HDR_long_grammatical/A3A2A1B1B2B3_378.wav,long_grammatical
16,HDR_long_grammatical/A2A3A1B1B3B2_112.wav,long_grammatical
17,HDR_long_grammatical/A3A2A1B1B2B3_381.wav,long_grammatical
18,HDR_long_grammatical/A1A2A3B3B2B1_12.wav,long_grammatical
19,HDR_long_grammatical/A2A1A3B3B1B2_248.wav,long_grammatical
20,HDR_long_grammatical/A1A2A3B3B2B1_49.wav,long_grammatical
21,HDR_long_grammatical/A1A2A3B3B2B1_27.wav,long_grammatical
22,HDR_long_grammatical/A1A2A3B3B2B1_47.wav,long_grammatical
23,HDR_long_grammatical/A1A3A2B2B3B1_305.wav,long_grammatical
24,HDR_long_grammatical/A1A3A2B2B3B1_301.wav,long_grammatical
25,HDR_long_grammatical/A2A1A3B3B1B2_198.wav,long_grammatical
26,HDR_long_grammatical/A2A3A1B1B3B2_116.wav,long_grammatical
27,HDR_long_grammatical/A3A1A2B2B1B3_172.wav,long_grammatical
28,HDR_long_grammatical/A1A2A3B3B2B1_57.wav,long_grammatical
29,HDR_long_replacement/A2A1A3B3B1B2_8.wav,long_replacement
30,HDR_long_grammatical/A2A1A3B3B1B2_240.wav,long_grammatical
31,HDR_long_grammatical/A3A1A2B2B1B3_182.wav,long_grammatical
32,HDR_long_concatenation/A1A2A3B3B2B1_21.wav,long_concatenation
33,HDR_long_grammatical/A3A2A1B1B2B3_376.wav,long_grammatical
34,HDR_long_grammatical/A1A3A2B2B3B1_279.wav,long_grammatical
35,HDR_long_grammatical/A1A3A2B2B3B1_277.wav,long_grammatical
36,HDR_long_grammatical/A3A2A1B1B2B3_374.wav,long_grammatical
37,HDR_long_grammatical/A3A2A1B1B2B3_331.wav,long_grammatical
38,HDR_long_grammatical/A3A1A2B2B1B3_151.wav,long_grammatical
39,HDR_long_grammatical/A2A3A1B1B3B2_104.wav,long_grammatical
40,HDR_long_grammatical/A2A3A1B1B3B2_76.wav,long_grammatical
41,HDR_long_replacement/A3A2A1B1B2B3_45.wav,long_replacement
42,HDR_long_grammatical/A1A3A2B2B3B1_284.wav,long_grammatical
43,HDR_long_replacement/A2A3A1B1B3B2_1.wav,long_replacement
44,HDR_long_grammatical/A2A3A1B1B3B2_110.wav,long_grammatical
45,HDR_long_grammatical/A1A2A3B3B2B1_6.wav,long_grammatical
46,HDR_long_grammatical/A2A3A1B1B3B2_92.wav,long_grammatical
47,HDR_long_replacement/A2A1A3B3B1B2_14.wav,long_replacement
48,HDR_long_grammatical/A1A3A2B2B3B1_302.wav,long_grammatical
49,HDR_long_grammatical/A2A1A3B3B1B2_222.wav,long_grammatical
50,HDR_long_grammatical/A3A1A2B2B1B3_171.wav,long_grammatical
51,HDR_long_concatenation/A2A3A1B1B3B2_45.wav,long_concatenation
52,HDR_long_grammatical/A3A2A1B1B2B3_365.wav,long_grammatical
53,HDR_long_grammatical/A3A2A1B1B2B3_361.wav,long_grammatical
54,HDR_long_grammatical/A1A3A2B2B3B1_269.wav,long_grammatical
55,HDR_long_concatenation/A1A2A3B3B2B1_44.wav,long_concatenation
56,HDR_long_concatenation/A1A2A3B3B2B1_14.wav,long_concatenation
57,HDR_long_grammatical/A3A2A1B1B2B3_357.wav,long_grammatical
58,HDR_long_grammatical/A3A1A2B2B1B3_130.wav,long_grammatical
59,HDR_long_grammatical/A1A2A3B3B2B1_15.wav,long_grammatical
60,HDR_long_grammatical/A3A1A2B2B1B3_157.wav,long_grammatical
61,HDR_long_concatenation/A3A2A1B1B2B3_35.wav,long_concatenation
62,HDR_long_replacement/A1A2A3B3B2B1_43.wav,long_replacement
63,HDR_long_grammatical/A1A2A3B3B2B1_51.wav,long_grammatical
64,HDR_long_grammatical/A3A2A1B1B2B3_382.wav,long_grammatical
65,HDR_long_grammatical/A3A2A1B1B2B3_348.wav,long_grammatical
66,HDR_long_grammatical/A2A1A3B3B1B2_209.wav,long_grammatical
67,HDR_long_grammatical/A3A1A2B2B1B3_187.wav,long_grammatical
68,HDR_long_grammatical/A1A2A3B3B2B1_5.wav,long_grammatical
69,HDR_long_grammatical/A1A2A3B3B2B1_35.wav,long_grammatical
70,HDR_long_grammatical/A2A3A1B1B3B2_107.wav,long_grammatical
71,HDR_long_grammatical/A1A3A2B2B3B1_268.wav,long_grammatical
72,HDR_long_concatenation/A2A3A1B1B3B2_31.wav,long_concatenation
73,HDR_long_replacement/A1A3A2B2B3B1_35.wav,long_replacement
74,HDR_long_grammatical/A1A3A2B2B3B1_300.wav,long_grammatical
75,HDR_long_grammatical/A3A2A1B1B2B3_383.wav,long_grammatical
76,HDR_long_grammatical/A2A3A1B1B3B2_99.wav,long_grammatical
77,HDR_long_grammatical/A3A2A1B1B2B3_346.wav,long_grammatical
78,HDR_long_grammatical/A1A3A2B2B3B1_303.wav,long_grammatical
79,HDR_long_grammatical/A2A1A3B3B1B2_227.wav,long_grammatical
80,HDR_long_grammatical/A1A2A3B3B2B1_62.wav,long_grammatical
81,HDR_long_grammatical/A3A1A2B2B1B3_170.wav,long_grammatical
82,HDR_long_grammatical/A1A2A3B3B2B1_0.wav,long_grammatical
83,HDR_long_grammatical/A2A3A1B1B3B2_126.wav,long_grammatical
84,HDR_long_grammatical/A3A1A2B2B1B3_188.wav,long_grammatical
85,HDR_long_concatenation/A2A3A1B1B3B2_33.wav,long_concatenation
86,HDR_long_replacement/A2A3A1B1B3B2_48.wav,long_replacement
87,HDR_long_grammatical/A1A2A3B3B2B1_34.wav,long_grammatical
88,HDR_long_concatenation/A2A1A3B3B1B2_8.wav,long_concatenation
89,HDR_long_grammatical/A1A2A3B3B2B1_2.wav,long_grammatical
90,HDR_long_grammatical/A3A1A2B2B1B3_131.wav,long_grammatical
91,HDR_long_grammatical/A2A1A3B3B1B2_217.wav,long_grammatical
92,HDR_long_grammatical/A3A2A1B1B2B3_324.wav,long_grammatical
93,HDR_long_grammatical/A3A2A1B1B2B3_326.wav,long_grammatical
94,HDR_long_grammatical/A1A2A3B3B2B1_60.wav,long_grammatical
95,HDR_long_grammatical/A1A3A2B2B3B1_275.wav,long_grammatical
96,HDR_long_grammatical/A3A2A1B1B2B3_350.wav,long_grammatical
97,HDR_long_replacement/A2A1A3B3B1B2_37.wav,long_replacement
98,HDR_long_grammatical/A1A2A3B3B2B1_24.wav,long_grammatical
99,HDR_long_grammatical/A3A1A2B2B1B3_139.wav,long_grammatical
100,HDR_long_grammatical/A2A3A1B1B3B2_79.wav,long_grammatical
101,HDR_long_grammatical/A2A1A3B3B1B2_232.wav,long_grammatical
102,HDR_long_grammatical/A2A1A3B3B1B2_207.wav,long_grammatical
103,HDR_long_replacement/A2A1A3B3B1B2_12.wav,long_replacement
104,HDR_long_grammatical/A1A3A2B2B3B1_258.wav,long_grammatical
105,HDR_long_concatenation/A2A1A3B3B1B2_0.wav,long_concatenation
106,HDR_long_grammatical/A2A3A1B1B3B2_105.wav,long_grammatical
107,HDR_long_grammatical/A2A3A1B1B3B2_94.wav,long_grammatical
108,HDR_long_grammatical/A3A2A1B1B2B3_379.wav,long_grammatical
109,HDR_long_concatenation/A1A2A3B3B2B1_20.wav,long_concatenation
110,HDR_long_grammatical/A3A1A2B2B1B3_160.wav,long_grammatical
111,HDR_long_grammatical/A3A1A2B2B1B3_142.wav,long_grammatical
112,HDR_long_grammatical/A2A1A3B3B1B2_214.wav,long_grammatical
113,HDR_long_concatenation/A2A1A3B3B1B2_11.wav,long_concatenation
114,HDR_long_replacement/A3A2A1B1B2B3_15.wav,long_replacement
115,HDR_long_replacement/A1A2A3B3B2B1_11.wav,long_replacement
116,HDR_long_grammatical/A3A1A2B2B1B3_148.wav,long_grammatical
117,HDR_long_grammatical/A2A3A1B1B3B2_64.wav,long_grammatical
118,HDR_long_grammatical/A2A1A3B3B1B2_253.wav,long_grammatical
119,HDR_long_grammatical/A2A1A3B3B1B2_199.wav,long_grammatical
120,HDR_long_grammatical/A3A1A2B2B1B3_149.wav,long_grammatical
121,HDR_long_grammatical/A2A3A1B1B3B2_122.wav,long_grammatical
122,HDR_long_grammatical/A1A2A3B3B2B1_14.wav,long_grammatical
123,HDR_long_replacement/A3A2A1B1B2B3_44.wav,long_replacement
124,HDR_long_grammatical/A3A2A1B1B2B3_336.wav,long_grammatical
125,HDR_long_grammatical/A3A2A1B1B2B3_323.wav,long_grammatical
126,HDR_long_grammatical/A1A2A3B3B2B1_16.wav,long_grammatical
127,HDR_long_grammatical/A1A3A2B2B3B1_290.wav,long_grammatical
128,HDR_long_grammatical/A2A1A3B3B1B2_210.wav,long_grammatical
129,HDR_long_grammatical/A3A1A2B2B1B3_134.wav,long_grammatical
130,HDR_long_grammatical/A1A2A3B3B2B1_59.wav,long_grammatical
131,HDR_long_grammatical/A1A3A2B2B3B1_291.wav,long_grammatical
132,HDR_long_grammatical/A2A1A3B3B1B2_255.wav,long_grammatical
133,HDR_long_grammatical/A1A3A2B2B3B1_317.wav,long_grammatical
134,HDR_long_grammatical/A3A1A2B2B1B3_181.wav,long_grammatical
135,HDR_long_grammatical/A1A2A3B3B2B1_56.wav,long_grammatical
136,HDR_long_grammatical/A3A2A1B1B2B3_328.wav,long_grammatical
137,HDR_long_grammatical/A3A2A1B1B2B3_321.wav,long_grammatical
138,HDR_long_grammatical/A3A2A1B1B2B3_332.wav,long_grammatical
139,HDR_long_concatenation/A1A3A2B2B3B1_5.wav,long_concatenation
140,HDR_long_grammatical/A3A2A1B1B2B3_355.wav,long_grammatical
141,HDR_long_grammatical/A2A3A1B1B3B2_65.wav,long_grammatical
142,HDR_long_grammatical/A1A2A3B3B2B1_9.wav,long_grammatical
143,HDR_long_grammatical/A3A1A2B2B1B3_173.wav,long_grammatical
144,HDR_long_grammatical/A2A3A1B1B3B2_74.wav,long_grammatical
145,HDR_long_grammatical/A1A2A3B3B2B1_3.wav,long_grammatical
146,HDR_long_grammatical/A3A1A2B2B1B3_176.wav,long_grammatical
147,HDR_long_grammatical/A1A3A2B2B3B1_289.wav,long_grammatical
148,HDR_long_grammatical/A1A3A2B2B3B1_259.wav,long_grammatical
149,HDR_long_replacement/A3A2A1B1B2B3_4.wav,long_replacement
150,HDR_long_grammatical/A3A2A1B1B2B3_342.wav,long_grammatical
151,HDR_long_grammatical/A2A3A1B1B3B2_72.wav,long_grammatical
152,HDR_long_grammatical/A2A1A3B3B1B2_252.wav,long_grammatical
153,HDR_long_grammatical/A3A1A2B2B1B3_189.wav,long_grammatical
154,HDR_long_grammatical/A3A2A1B1B2B3_375.wav,long_grammatical
155,HDR_long_concatenation/A3A1A2B2B1B3_15.wav,long_concatenation
156,HDR_long_grammatical/A2A1A3B3B1B2_247.wav,long_grammatical
157,HDR_long_replacement/A1A3A2B2B3B1_23.wav,long_replacement
158,HDR_long_grammatical/A2A3A1B1B3B2_77.wav,long_grammatical
159,HDR_long_grammatical/A2A3A1B1B3B2_84.wav,long_grammatical
160,HDR_long_grammatical/A3A2A1B1B2B3_367.wav,long_grammatical
161,HDR_long_grammatical/A1A3A2B2B3B1_287.wav,long_grammatical
162,HDR_long_grammatical/A2A1A3B3B1B2_218.wav,long_grammatical
163,HDR_long_grammatical/A3A1A2B2B1B3_162.wav,long_grammatical
164,HDR_long_grammatical/A2A3A1B1B3B2_101.wav,long_grammatical
165,HDR_long_grammatical/A2A1A3B3B1B2_241.wav,long_grammatical
166,HDR_long_grammatical/A3A2A1B1B2B3_340.wav,long_grammatical
167,HDR_long_grammatical/A3A2A1B1B2B3_358.wav,long_grammatical
168,HDR_long_concatenation/A1A3A2B2B3B1_36.wav,long_concatenation
169,HDR_long_grammatical/A1A3A2B2B3B1_319.wav,long_grammatical
170,HDR_long_grammatical/A2A1A3B3B1B2_238.wav,long_grammatical
171,HDR_long_grammatical/A2A3A1B1B3B2_98.wav,long_grammatical
172,HDR_long_replacement/A3A1A2B2B1B3_7.wav,long_replacement
173,HDR_long_grammatical/A3A2A1B1B2B3_345.wav,long_grammatical
174,HDR_long_grammatical/A3A1A2B2B1B3_136.wav,long_grammatical
175,HDR_long_replacement/A1A3A2B2B3B1_0.wav,long_replacement
176,HDR_long_replacement/A1A2A3B3B2B1_3.wav,long_replacement
177,HDR_long_grammatical/A2A1A3B3B1B2_250.wav,long_grammatical
178,HDR_long_grammatical/A3A2A1B1B2B3_380.wav,long_grammatical
179,HDR_long_grammatical/A2A1A3B3B1B2_192.wav,long_grammatical
180,HDR_long_grammatical/A2A1A3B3B1B2_215.wav,long_grammatical
181,HDR_long_grammatical/A1A3A2B2B3B1_313.wav,long_grammatical
182,HDR_long_grammatical/A1A3A2B2B3B1_297.wav,long_grammatical
183,HDR_long_grammatical/A3A2A1B1B2B3_370.wav,long_grammatical
184,HDR_long_grammatical/A1A3A2B2B3B1_273.wav,long_grammatical
185,HDR_long_concatenation/A3A1A2B2B1B3_12.wav,long_concatenation
186,HDR_long_grammatical/A1A3A2B2B3B1_272.wav,long_grammatical
187,HDR_long_grammatical/A1A3A2B2B3B1_283.wav,long_grammatical
188,HDR_long_grammatical/A3A2A1B1B2B3_368.wav,long_grammatical
189,HDR_long_grammatical/A1A3A2B2B3B1_260.wav,long_grammatical
190,HDR_long_grammatical/A2A1A3B3B1B2_225.wav,long_grammatical
191,HDR_long_grammatical/A3A1A2B2B1B3_137.wav,long_grammatical
192,HDR_long_grammatical/A1A2A3B3B2B1_22.wav,long_grammatical
193,HDR_long_grammatical/A2A1A3B3B1B2_251.wav,long_grammatical
194,HDR_long_grammatical/A2A1A3B3B1B2_211.wav,long_grammatical
195,HDR_long_grammatical/A1A2A3B3B2B1_29.wav,long_grammatical
196,HDR_long_replacement/A2A3A1B1B3B2_26.wav,long_replacement
197,HDR_long_replacement/A3A1A2B2B1B3_22.wav,long_replacement
198,HDR_long_grammatical/A2A1A3B3B1B2_245.wav,long_grammatical
199,HDR_long_grammatical/A2A3A1B1B3B2_124.wav,long_grammatical
200,HDR_long_grammatical/A1A2A3B3B2B1_54.wav,long_grammatical
201,HDR_long_grammatical/A1A3A2B2B3B1_276.wav,long_grammatical
202,HDR_long_concatenation/A1A3A2B2B3B1_49.wav,long_concatenation
203,HDR_long_grammatical/A3A1A2B2B1B3_165.wav,long_grammatical
204,HDR_long_grammatical/A3A1A2B2B1B3_161.wav,long_grammatical
205,HDR_long_grammatical/A1A2A3B3B2B1_28.wav,long_grammatical
206,HDR_long_grammatical/A2A3A1B1B3B2_127.wav,long_grammatical
