trial_index,audio_filename,condition,position
1,HDR_long_concatenation/A1A3A2B2B3B1_49.wav,long_concatenation,-2
2,HDR_long_grammatical/A2A1A3B3B1B2_202.wav,long_grammatical,0
3,HDR_long_grammatical/A1A2A3B3B2B1_43.wav,long_grammatical,0
4,HDR_long_concatenation/A1A2A3B3B2B1_21.wav,long_concatenation,-2
5,HDR_long_grammatical/A2A3A1B1B3B2_100.wav,long_grammatical,0
6,HDR_long_grammatical/A2A1A3B3B1B2_229.wav,long_grammatical,0
7,HDR_long_grammatical/A2A3A1B1B3B2_81.wav,long_grammatical,0
8,HDR_long_grammatical/A1A3A2B2B3B1_257.wav,long_grammatical,0
9,HDR_long_grammatical/A2A1A3B3B1B2_205.wav,long_grammatical,0
10,HDR_long_grammatical/A2A1A3B3B1B2_201.wav,long_grammatical,0
11,HDR_long_grammatical/A1A2A3B3B2B1_63.wav,long_grammatical,0
12,HDR_long_grammatical/A3A2A1B1B2B3_360.wav,long_grammatical,0
13,HDR_long_concatenation/A3A2A1B1B2B3_40.wav,long_concatenation,-3
14,HDR_long_grammatical/A1A3A2B2B3B1_288.wav,long_grammatical,0
15,HDR_long_grammatical/A2A1A3B3B1B2_228.wav,long_grammatical,0
16,HDR_long_grammatical/A1A2A3B3B2B1_50.wav,long_grammatical,0
17,HDR_long_grammatical/A3A2A1B1B2B3_365.wav,long_grammatical,0
18,HDR_long_grammatical/A3A2A1B1B2B3_346.wav,long_grammatical,0
19,HDR_long_grammatical/A2A3A1B1B3B2_102.wav,long_grammatical,0
20,HDR_long_grammatical/A3A2A1B1B2B3_381.wav,long_grammatical,0
21,HDR_long_grammatical/A3A2A1B1B2B3_332.wav,long_grammatical,0
22,HDR_long_replacement/A2A1A3B3B1B2_13.wav,long_replacement,-1
23,HDR_long_grammatical/A3A2A1B1B2B3_357.wav,long_grammatical,0
24,HDR_long_replacement/A1A3A2B2B3B1_0.wav,long_replacement,-3
25,HDR_long_grammatical/A2A1A3B3B1B2_196.wav,long_grammatical,0
26,HDR_long_grammatical/A2A1A3B3B1B2_255.wav,long_grammatical,0
27,HDR_long_concatenation/A1A2A3B3B2B1_13.wav,long_concatenation,-1
28,HDR_long_grammatical/A3A2A1B1B2B3_337.wav,long_grammatical,0
29,HDR_long_grammatical/A1A3A2B2B3B1_275.wav,long_grammatical,0
30,HDR_long_grammatical/A3A2A1B1B2B3_347.wav,long_grammatical,0
31,HDR_long_grammatical/A3A1A2B2B1B3_159.wav,long_grammatical,0
32,HDR_long_grammatical/A2A1A3B3B1B2_213.wav,long_grammatical,0
33,HDR_long_grammatical/A1A3A2B2B3B1_267.wav,long_grammatical,0
34,HDR_long_grammatical/A2A1A3B3B1B2_230.wav,long_grammatical,0
35,HDR_long_grammatical/A3A1A2B2B1B3_145.wav,long_grammatical,0
36,HDR_long_replacement/A1A2A3B3B2B1_16.wav,long_replacement,-3
37,HDR_long_grammatical/A1A3A2B2B3B1_284.wav,long_grammatical,0
38,HDR_long_replacement/A3A1A2B2B1B3_36.wav,long_replacement,-1
39,HDR_long_replacement/A1A3A2B2B3B1_46.wav,long_replacement,-3
40,HDR_long_grammatical/A3A1A2B2B1B3_133.wav,long_grammatical,0
41,HDR_long_grammatical/A1A2A3B3B2B1_54.wav,long_grammatical,0
42,HDR_long_replacement/A1A3A2B2B3B1_31.wav,long_replacement,-3
43,HDR_long_grammatical/A3A1A2B2B1B3_141.wav,long_grammatical,0
44,HDR_long_grammatical/A2A1A3B3B1B2_243.wav,long_grammatical,0
45,HDR_long_grammatical/A3A1A2B2B1B3_136.wav,long_grammatical,0
46,HDR_long_grammatical/A1A3A2B2B3B1_286.wav,long_grammatical,0
47,HDR_long_grammatical/A2A1A3B3B1B2_236.wav,long_grammatical,0
48,HDR_long_grammatical/A2A3A1B1B3B2_106.wav,long_grammatical,0
49,HDR_long_grammatical/A1A3A2B2B3B1_281.wav,long_grammatical,0
50,HDR_long_grammatical/A1A2A3B3B2B1_56.wav,long_grammatical,0
51,HDR_long_grammatical/A2A3A1B1B3B2_67.wav,long_grammatical,0
52,HDR_long_grammatical/A3A2A1B1B2B3_334.wav,long_grammatical,0
53,HDR_long_grammatical/A2A1A3B3B1B2_198.wav,long_grammatical,0
54,HDR_long_concatenation/A2A1A3B3B1B2_11.wav,long_concatenation,-2
55,HDR_long_grammatical/A1A2A3B3B2B1_27.wav,long_grammatical,0
56,HDR_long_grammatical/A1A2A3B3B2B1_3.wav,long_grammatical,0
57,HDR_long_grammatical/A3A1A2B2B1B3_139.wav,long_grammatical,0
58,HDR_long_replacement/A1A2A3B3B2B1_10.wav,long_replacement,-1
59,HDR_long_grammatical/A1A2A3B3B2B1_62.wav,long_grammatical,0
60,HDR_long_grammatical/A2A1A3B3B1B2_208.wav,long_grammatical,0
61,HDR_long_grammatical/A2A3A1B1B3B2_121.wav,long_grammatical,0
62,HDR_long_grammatical/A3A1A2B2B1B3_178.wav,long_grammatical,0
63,HDR_long_grammatical/A1A2A3B3B2B1_53.wav,long_grammatical,0
64,HDR_long_grammatical/A3A1A2B2B1B3_130.wav,long_grammatical,0
65,HDR_long_grammatical/A1A2A3B3B2B1_28.wav,long_grammatical,0
66,HDR_long_grammatical/A2A3A1B1B3B2_109.wav,long_grammatical,0
67,HDR_long_grammatical/A3A2A1B1B2B3_356.wav,long_grammatical,0
68,HDR_long_concatenation/A1A2A3B3B2B1_1.wav,long_concatenation,-1
69,HDR_long_grammatical/A3A2A1B1B2B3_342.wav,long_grammatical,0
70,HDR_long_grammatical/A3A1A2B2B1B3_191.wav,long_grammatical,0
71,HDR_long_grammatical/A2A1A3B3B1B2_245.wav,long_grammatical,0
72,HDR_long_concatenation/A3A1A2B2B1B3_28.wav,long_concatenation,-1
73,HDR_long_concatenation/A3A2A1B1B2B3_10.wav,long_concatenation,-3
74,HDR_long_grammatical/A2A3A1B1B3B2_86.wav,long_grammatical,0
75,HDR_long_grammatical/A2A1A3B3B1B2_231.wav,long_grammatical,0
76,HDR_long_concatenation/A2A1A3B3B1B2_0.wav,long_concatenation,-3
77,HDR_long_grammatical/A1A3A2B2B3B1_271.wav,long_grammatical,0
78,HDR_long_grammatical/A3A1A2B2B1B3_152.wav,long_grammatical,0
79,HDR_long_grammatical/A2A3A1B1B3B2_120.wav,long_grammatical,0
80,HDR_long_grammatical/A3A2A1B1B2B3_378.wav,long_grammatical,0
81,HDR_long_grammatical/A2A3A1B1B3B2_89.wav,long_grammatical,0
82,HDR_long_grammatical/A2A3A1B1B3B2_92.wav,long_grammatical,0
83,HDR_long_grammatical/A3A1A2B2B1B3_135.wav,long_grammatical,0
84,HDR_long_grammatical/A1A3A2B2B3B1_316.wav,long_grammatical,0
85,HDR_long_grammatical/A1A2A3B3B2B1_18.wav,long_grammatical,0
