trial_index,audio_filename,condition
1,ADR_short_grammatical/A3B3A1B1_56.wav,short_grammatical
2,ADR_short_grammatical/A1B1A3B3_47.wav,short_grammatical
3,ADR_short_grammatical/A3B3A2B2_89.wav,short_grammatical
4,ADR_short_grammatical/A3B3A2B2_87.wav,short_grammatical
5,ADR_short_concatenation/A1B1A2B2_34.wav,short_concatenation
6,ADR_short_grammatical/A1B1A3B3_45.wav,short_grammatical
7,ADR_short_concatenation/A2B2A1B1_38.wav,short_concatenation
8,ADR_short_grammatical/A3B3A2B2_85.wav,short_grammatical
9,ADR_short_grammatical/A3B3A1B1_48.wav,short_grammatical
10,ADR_short_grammatical/A2B2A3B3_75.wav,short_grammatical
11,ADR_short_grammatical/A1B1A2B2_10.wav,short_grammatical
12,ADR_short_concatenation/A3B3A2B2_8.wav,short_concatenation
13,ADR_short_grammatical/A1B1A3B3_34.wav,short_grammatical
14,ADR_short_grammatical/A3B3A1B1_54.wav,short_grammatical
15,ADR_short_concatenation/A2B2A3B3_43.wav,short_concatenation
16,ADR_short_grammatical/A1B1A3B3_32.wav,short_grammatical
17,ADR_short_grammatical/A2B2A3B3_70.wav,short_grammatical
18,ADR_short_grammatical/A1B1A3B3_43.wav,short_grammatical
19,ADR_short_grammatical/A3B3A1B1_49.wav,short_grammatical
20,ADR_short_grammatical/A2B2A1B1_22.wav,short_grammatical
21,ADR_short_concatenation/A2B2A1B1_31.wav,short_concatenation
22,ADR_short_grammatical/A1B1A3B3_42.wav,short_grammatical
23,ADR_short_grammatical/A2B2A1B1_16.wav,short_grammatical
24,ADR_short_replacement/A2B2A1B1_4.wav,short_replacement
25,ADR_short_replacement/A3B3A2B2_24.wav,short_replacement
26,ADR_short_grammatical/A2B2A3B3_66.wav,short_grammatical
27,ADR_short_grammatical/A3B3A1B1_62.wav,short_grammatical
28,ADR_short_replacement/A3B3A2B2_0.wav,short_replacement
29,ADR_short_grammatical/A2B2A1B1_20.wav,short_grammatical
30,ADR_short_grammatical/A3B3A2B2_91.wav,short_grammatical
31,ADR_short_grammatical/A1B1A3B3_39.wav,short_grammatical
32,ADR_short_grammatical/A2B2A3B3_77.wav,short_grammatical
33,ADR_short_grammatical/A1B1A3B3_46.wav,short_grammatical
34,ADR_short_grammatical/A2B2A3B3_64.wav,short_grammatical
35,ADR_short_replacement/A1B1A2B2_10.wav,short_replacement
36,ADR_short_grammatical/A3B3A1B1_57.wav,short_grammatical
37,ADR_short_grammatical/A1B1A2B2_5.wav,short_grammatical
38,ADR_short_grammatical/A2B2A1B1_26.wav,short_grammatical
39,ADR_short_concatenation/A2B2A3B3_39.wav,short_concatenation
40,ADR_short_grammatical/A2B2A3B3_72.wav,short_grammatical
41,ADR_short_grammatical/A3B3A2B2_88.wav,short_grammatical
42,ADR_short_grammatical/A2B2A1B1_24.wav,short_grammatical
43,ADR_short_grammatical/A2B2A1B1_28.wav,short_grammatical
44,ADR_short_concatenation/A3B3A1B1_28.wav,short_concatenation
45,ADR_short_grammatical/A1B1A2B2_3.wav,short_grammatical
46,ADR_short_grammatical/A1B1A2B2_4.wav,short_grammatical
47,ADR_short_replacement/A1B1A3B3_30.wav,short_replacement
48,ADR_short_grammatical/A2B2A1B1_27.wav,short_grammatical
49,ADR_short_grammatical/A1B1A3B3_33.wav,short_grammatical
50,ADR_short_grammatical/A2B2A1B1_30.wav,short_grammatical
51,ADR_short_grammatical/A1B1A3B3_38.wav,short_grammatical
52,ADR_short_grammatical/A3B3A1B1_63.wav,short_grammatical
53,ADR_short_grammatical/A3B3A2B2_82.wav,short_grammatical
54,ADR_short_grammatical/A3B3A1B1_61.wav,short_grammatical
55,ADR_short_replacement/A1B1A3B3_46.wav,short_replacement
56,ADR_short_concatenation/A1B1A2B2_47.wav,short_concatenation
57,ADR_short_grammatical/A2B2A3B3_67.wav,short_grammatical
58,ADR_short_grammatical/A2B2A1B1_19.wav,short_grammatical
59,ADR_short_grammatical/A3B3A2B2_92.wav,short_grammatical
60,ADR_short_grammatical/A3B3A1B1_55.wav,short_grammatical
61,ADR_short_grammatical/A3B3A2B2_94.wav,short_grammatical
62,ADR_short_grammatical/A1B1A2B2_14.wav,short_grammatical
