trial_index,audio_filename,condition
1,HDR_short_grammatical/A1A2B2B1_13.wav,short_grammatical
2,HDR_short_grammatical/A3A2B2B3_92.wav,short_grammatical
3,HDR_short_grammatical/A1A2B2B1_10.wav,short_grammatical
4,HDR_short_grammatical/A3A1B1B3_52.wav,short_grammatical
5,HDR_short_grammatical/A2A3B3B2_64.wav,short_grammatical
6,HDR_short_grammatical/A3A1B1B3_61.wav,short_grammatical
7,HDR_short_grammatical/A2A3B3B2_79.wav,short_grammatical
8,HDR_short_grammatical/A1A2B2B1_0.wav,short_grammatical
9,HDR_short_grammatical/A3A2B2B3_90.wav,short_grammatical
10,HDR_short_grammatical/A3A1B1B3_48.wav,short_grammatical
11,HDR_short_grammatical/A1A2B2B1_9.wav,short_grammatical
12,HDR_short_grammatical/A2A3B3B2_74.wav,short_grammatical
13,HDR_short_replacement/A1A2B2B1_14.wav,short_replacement
14,HDR_short_replacement/A2A3B3B2_25.wav,short_replacement
15,HDR_short_grammatical/A2A1B1B2_18.wav,short_grammatical
16,HDR_short_grammatical/A1A3B3B1_32.wav,short_grammatical
17,HDR_short_grammatical/A2A1B1B2_27.wav,short_grammatical
18,HDR_short_grammatical/A2A1B1B2_17.wav,short_grammatical
19,HDR_short_grammatical/A2A3B3B2_66.wav,short_grammatical
20,HDR_short_grammatical/A3A2B2B3_88.wav,short_grammatical
21,HDR_short_grammatical/A3A2B2B3_83.wav,short_grammatical
22,HDR_short_grammatical/A1A3B3B1_43.wav,short_grammatical
23,HDR_short_grammatical/A3A2B2B3_87.wav,short_grammatical
24,HDR_short_grammatical/A3A1B1B3_53.wav,short_grammatical
25,HDR_short_grammatical/A1A3B3B1_35.wav,short_grammatical
26,HDR_short_replacement/A1A3B3B1_13.wav,short_replacement
27,HDR_short_concatenation/A1A3B3B1_42.wav,short_concatenation
28,HDR_short_grammatical/A1A2B2B1_14.wav,short_grammatical
29,HDR_short_grammatical/A2A1B1B2_29.wav,short_grammatical
30,HDR_short_grammatical/A1A2B2B1_2.wav,short_grammatical
31,HDR_short_grammatical/A2A3B3B2_70.wav,short_grammatical
32,HDR_short_grammatical/A1A3B3B1_39.wav,short_grammatical
33,HDR_short_concatenation/A3A1B1B3_21.wav,short_concatenation
34,HDR_short_grammatical/A2A1B1B2_24.wav,short_grammatical
35,HDR_short_grammatical/A1A2B2B1_8.wav,short_grammatical
36,HDR_short_grammatical/A2A3B3B2_71.wav,short_grammatical
37,HDR_short_grammatical/A3A1B1B3_54.wav,short_grammatical
38,HDR_short_grammatical/A2A1B1B2_28.wav,short_grammatical
39,HDR_short_grammatical/A1A2B2B1_6.wav,short_grammatical
40,HDR_short_grammatical/A1A2B2B1_4.wav,short_grammatical
41,HDR_short_grammatical/A1A2B2B1_3.wav,short_grammatical
42,HDR_short_grammatical/A1A3B3B1_47.wav,short_grammatical
43,HDR_short_grammatical/A2A3B3B2_76.wav,short_grammatical
44,HDR_short_concatenation/A2A3B3B2_20.wav,short_concatenation
45,HDR_short_grammatical/A3A2B2B3_86.wav,short_grammatical
46,HDR_short_replacement/A2A1B1B2_3.wav,short_replacement
47,HDR_short_replacement/A3A2B2B3_20.wav,short_replacement
48,HDR_short_grammatical/A2A3B3B2_69.wav,short_grammatical
49,HDR_short_grammatical/A2A3B3B2_75.wav,short_grammatical
50,HDR_short_grammatical/A3A2B2B3_82.wav,short_grammatical
51,HDR_short_grammatical/A1A2B2B1_1.wav,short_grammatical
52,HDR_short_grammatical/A1A3B3B1_44.wav,short_grammatical
53,HDR_short_grammatical/A2A3B3B2_78.wav,short_grammatical
54,HDR_short_replacement/A1A3B3B1_21.wav,short_replacement
55,HDR_short_grammatical/A3A1B1B3_62.wav,short_grammatical
56,HDR_short_grammatical/A3A1B1B3_57.wav,short_grammatical
57,HDR_short_grammatical/A3A1B1B3_51.wav,short_grammatical
58,HDR_short_grammatical/A3A1B1B3_63.wav,short_grammatical
59,HDR_short_replacement/A2A3B3B2_46.wav,short_replacement
60,HDR_short_concatenation/A3A2B2B3_5.wav,short_concatenation
61,HDR_short_grammatical/A2A1B1B2_30.wav,short_grammatical
62,HDR_short_grammatical/A1A3B3B1_46.wav,short_grammatical
63,HDR_short_concatenation/A3A1B1B3_39.wav,short_concatenation
64,HDR_short_grammatical/A2A3B3B2_72.wav,short_grammatical
65,HDR_short_concatenation/A2A1B1B2_25.wav,short_concatenation
66,HDR_short_grammatical/A1A3B3B1_37.wav,short_grammatical
67,HDR_short_grammatical/A2A1B1B2_26.wav,short_grammatical
68,HDR_short_grammatical/A2A1B1B2_16.wav,short_grammatical
69,HDR_short_concatenation/A1A2B2B1_45.wav,short_concatenation
70,HDR_short_concatenation/A3A2B2B3_4.wav,short_concatenation
71,HDR_short_grammatical/A3A2B2B3_91.wav,short_grammatical
72,HDR_short_replacement/A2A3B3B2_11.wav,short_replacement
73,HDR_short_grammatical/A3A2B2B3_80.wav,short_grammatical
74,HDR_short_grammatical/A3A2B2B3_94.wav,short_grammatical
75,HDR_short_grammatical/A3A2B2B3_85.wav,short_grammatical
76,HDR_short_grammatical/A1A2B2B1_7.wav,short_grammatical
77,HDR_short_grammatical/A1A2B2B1_12.wav,short_grammatical
78,HDR_short_grammatical/A1A2B2B1_15.wav,short_grammatical
79,HDR_short_grammatical/A3A1B1B3_60.wav,short_grammatical
80,HDR_short_replacement/A3A2B2B3_0.wav,short_replacement
81,HDR_short_grammatical/A2A1B1B2_31.wav,short_grammatical
82,HDR_short_grammatical/A3A2B2B3_89.wav,short_grammatical
83,HDR_short_grammatical/A3A2B2B3_84.wav,short_grammatical
84,HDR_short_grammatical/A2A3B3B2_67.wav,short_grammatical
85,HDR_short_concatenation/A2A3B3B2_30.wav,short_concatenation
86,HDR_short_concatenation/A1A3B3B1_9.wav,short_concatenation
87,HDR_short_grammatical/A1A3B3B1_33.wav,short_grammatical
88,HDR_short_grammatical/A1A3B3B1_42.wav,short_grammatical
89,HDR_short_replacement/A1A3B3B1_35.wav,short_replacement
90,HDR_short_grammatical/A1A3B3B1_38.wav,short_grammatical
91,HDR_short_grammatical/A1A3B3B1_34.wav,short_grammatical
92,HDR_short_grammatical/A3A2B2B3_81.wav,short_grammatical
93,HDR_short_grammatical/A2A1B1B2_21.wav,short_grammatical
94,HDR_short_grammatical/A2A1B1B2_23.wav,short_grammatical
95,HDR_short_replacement/A2A3B3B2_49.wav,short_replacement
96,HDR_short_grammatical/A3A1B1B3_49.wav,short_grammatical
97,HDR_short_grammatical/A1A3B3B1_41.wav,short_grammatical
98,HDR_short_grammatical/A1A3B3B1_40.wav,short_grammatical
99,HDR_short_grammatical/A2A3B3B2_68.wav,short_grammatical
100,HDR_short_grammatical/A3A1B1B3_55.wav,short_grammatical
101,HDR_short_grammatical/A3A1B1B3_58.wav,short_grammatical
102,HDR_short_grammatical/A2A3B3B2_73.wav,short_grammatical
103,HDR_short_grammatical/A2A3B3B2_77.wav,short_grammatical
104,HDR_short_grammatical/A2A1B1B2_25.wav,short_grammatical
105,HDR_short_grammatical/A2A1B1B2_20.wav,short_grammatical
106,HDR_short_grammatical/A1A2B2B1_11.wav,short_grammatical
107,HDR_short_replacement/A1A2B2B1_6.wav,short_replacement
108,HDR_short_grammatical/A3A1B1B3_59.wav,short_grammatical
109,HDR_short_grammatical/A2A3B3B2_65.wav,short_grammatical
110,HDR_short_grammatical/A3A2B2B3_95.wav,short_grammatical
111,HDR_short_grammatical/A3A1B1B3_50.wav,short_grammatical
112,HDR_short_concatenation/A2A1B1B2_46.wav,short_concatenation
113,HDR_short_grammatical/A1A3B3B1_45.wav,short_grammatical
114,HDR_short_grammatical/A3A1B1B3_56.wav,short_grammatical
115,HDR_short_concatenation/A1A2B2B1_11.wav,short_concatenation
116,HDR_short_grammatical/A2A1B1B2_19.wav,short_grammatical
117,HDR_short_grammatical/A1A2B2B1_5.wav,short_grammatical
118,HDR_short_grammatical/A2A1B1B2_22.wav,short_grammatical
119,HDR_short_grammatical/A1A3B3B1_36.wav,short_grammatical
120,HDR_short_grammatical/A3A2B2B3_93.wav,short_grammatical
