trial_index,audio_filename,condition,position
1,HDR_short_grammatical/A2A1B1B2_23.wav,short_grammatical,0
2,HDR_short_concatenation/A3A2B2B3_6.wav,short_concatenation,-1
3,HDR_short_grammatical/A1A2B2B1_8.wav,short_grammatical,0
4,HDR_short_grammatical/A2A1B1B2_19.wav,short_grammatical,0
5,HDR_short_grammatical/A1A3B3B1_44.wav,short_grammatical,0
6,HDR_short_grammatical/A3A2B2B3_87.wav,short_grammatical,0
7,HDR_short_grammatical/A2A3B3B2_77.wav,short_grammatical,0
8,HDR_short_replacement/A1A2B2B1_24.wav,short_replacement,-2
9,HDR_short_replacement/A2A3B3B2_5.wav,short_replacement,-2
10,HDR_short_grammatical/A2A1B1B2_28.wav,short_grammatical,0
11,HDR_short_grammatical/A3A2B2B3_90.wav,short_grammatical,0
12,HDR_short_replacement/A3A2B2B3_0.wav,short_replacement,-1
13,HDR_short_grammatical/A1A2B2B1_0.wav,short_grammatical,0
14,HDR_short_grammatical/A2A1B1B2_17.wav,short_grammatical,0
15,HDR_short_grammatical/A2A3B3B2_79.wav,short_grammatical,0
16,HDR_short_concatenation/A1A2B2B1_3.wav,short_concatenation,-1
17,HDR_short_replacement/A2A3B3B2_11.wav,short_replacement,-1
18,HDR_short_concatenation/A3A1B1B3_36.wav,short_concatenation,-2
19,HDR_short_grammatical/A1A3B3B1_43.wav,short_grammatical,0
20,HDR_short_replacement/A1A2B2B1_8.wav,short_replacement,-1
21,HDR_short_grammatical/A1A2B2B1_13.wav,short_grammatical,0
22,HDR_short_grammatical/A2A3B3B2_78.wav,short_grammatical,0
23,HDR_short_grammatical/A2A1B1B2_25.wav,short_grammatical,0
24,HDR_short_grammatical/A2A3B3B2_66.wav,short_grammatical,0
25,HDR_short_grammatical/A2A1B1B2_29.wav,short_grammatical,0
26,HDR_short_grammatical/A1A3B3B1_33.wav,short_grammatical,0
27,HDR_short_grammatical/A2A3B3B2_76.wav,short_grammatical,0
28,HDR_short_concatenation/A3A2B2B3_5.wav,short_concatenation,-1
29,HDR_short_grammatical/A3A1B1B3_49.wav,short_grammatical,0
30,HDR_short_grammatical/A3A2B2B3_89.wav,short_grammatical,0
31,HDR_short_replacement/A2A1B1B2_22.wav,short_replacement,-1
32,HDR_short_concatenation/A2A1B1B2_25.wav,short_concatenation,-2
33,HDR_short_grammatical/A3A1B1B3_59.wav,short_grammatical,0
34,HDR_short_grammatical/A2A1B1B2_24.wav,short_grammatical,0
35,HDR_short_grammatical/A3A1B1B3_63.wav,short_grammatical,0
36,HDR_short_replacement/A1A3B3B1_28.wav,short_replacement,-2
37,HDR_short_grammatical/A1A2B2B1_10.wav,short_grammatical,0
38,HDR_short_grammatical/A3A2B2B3_84.wav,short_grammatical,0
39,HDR_short_grammatical/A2A3B3B2_69.wav,short_grammatical,0
40,HDR_short_replacement/A1A2B2B1_14.wav,short_replacement,-2
41,HDR_short_grammatical/A3A1B1B3_57.wav,short_grammatical,0
42,HDR_short_grammatical/A1A3B3B1_38.wav,short_grammatical,0
43,HDR_short_grammatical/A3A1B1B3_48.wav,short_grammatical,0
44,HDR_short_grammatical/A1A2B2B1_9.wav,short_grammatical,0
45,HDR_short_grammatical/A3A1B1B3_51.wav,short_grammatical,0
46,HDR_short_concatenation/A2A3B3B2_44.wav,short_concatenation,-2
47,HDR_short_grammatical/A2A1B1B2_31.wav,short_grammatical,0
48,HDR_short_grammatical/A3A1B1B3_62.wav,short_grammatical,0
49,HDR_short_grammatical/A3A1B1B3_56.wav,short_grammatical,0
50,HDR_short_grammatical/A2A1B1B2_18.wav,short_grammatical,0
51,HDR_short_concatenation/A1A3B3B1_9.wav,short_concatenation,-2
52,HDR_short_grammatical/A3A1B1B3_61.wav,short_grammatical,0
53,HDR_short_grammatical/A1A3B3B1_36.wav,short_grammatical,0
54,HDR_short_grammatical/A1A3B3B1_37.wav,short_grammatical,0
55,HDR_short_grammatical/A1A2B2B1_4.wav,short_grammatical,0
56,HDR_short_grammatical/A2A1B1B2_20.wav,short_grammatical,0
57,HDR_short_grammatical/A1A2B2B1_6.wav,short_grammatical,0
58,HDR_short_grammatical/A2A3B3B2_72.wav,short_grammatical,0
59,HDR_short_grammatical/A1A3B3B1_47.wav,short_grammatical,0
60,HDR_short_grammatical/A3A1B1B3_58.wav,short_grammatical,0
61,HDR_short_grammatical/A2A1B1B2_27.wav,short_grammatical,0
62,HDR_short_grammatical/A1A2B2B1_7.wav,short_grammatical,0
63,HDR_short_grammatical/A1A3B3B1_45.wav,short_grammatical,0
