trial_index,audio_filename,condition,position
1,HDR_long_grammatical/A1A2A3B3B2B1_34.wav,long_grammatical,0
2,HDR_long_replacement/A3A2A1B1B2B3_26.wav,long_replacement,0
3,HDR_long_replacement/A2A3A1B1B3B2_51.wav,long_replacement,-3
4,HDR_long_grammatical/A2A3A1B1B3B2_76.wav,long_grammatical,0
5,HDR_long_grammatical/A3A2A1B1B2B3_363.wav,long_grammatical,0
6,HDR_long_replacement/A1A3A2B2B3B1_43.wav,long_replacement,-1
7,HDR_long_grammatical/A3A1A2B2B1B3_169.wav,long_grammatical,0
8,HDR_long_grammatical/A3A1A2B2B1B3_191.wav,long_grammatical,0
9,HDR_long_grammatical/A3A2A1B1B2B3_328.wav,long_grammatical,0
10,HDR_long_grammatical/A2A1A3B3B1B2_242.wav,long_grammatical,0
11,HDR_long_replacement/A1A3A2B2B3B1_39.wav,long_replacement,0
12,HDR_long_grammatical/A2A1A3B3B1B2_226.wav,long_grammatical,0
13,HDR_long_grammatical/A3A2A1B1B2B3_349.wav,long_grammatical,0
14,HDR_long_grammatical/A3A1A2B2B1B3_185.wav,long_grammatical,0
15,HDR_long_grammatical/A2A3A1B1B3B2_102.wav,long_grammatical,0
16,HDR_long_grammatical/A2A1A3B3B1B2_210.wav,long_grammatical,0
17,HDR_long_grammatical/A3A1A2B2B1B3_186.wav,long_grammatical,0
18,HDR_long_grammatical/A3A1A2B2B1B3_181.wav,long_grammatical,0
19,HDR_long_grammatical/A1A3A2B2B3B1_306.wav,long_grammatical,0
20,HDR_long_grammatical/A3A2A1B1B2B3_359.wav,long_grammatical,0
21,HDR_long_grammatical/A2A3A1B1B3B2_86.wav,long_grammatical,0
22,HDR_long_grammatical/A2A3A1B1B3B2_83.wav,long_grammatical,0
23,HDR_long_grammatical/A1A2A3B3B2B1_54.wav,long_grammatical,0
24,HDR_long_grammatical/A3A1A2B2B1B3_176.wav,long_grammatical,0
25,HDR_long_grammatical/A3A1A2B2B1B3_147.wav,long_grammatical,0
26,HDR_long_grammatical/A1A2A3B3B2B1_18.wav,long_grammatical,0
27,HDR_long_grammatical/A2A3A1B1B3B2_95.wav,long_grammatical,0
28,HDR_long_grammatical/A2A3A1B1B3B2_90.wav,long_grammatical,0
29,HDR_long_grammatical/A1A3A2B2B3B1_304.wav,long_grammatical,0
30,HDR_long_grammatical/A1A2A3B3B2B1_39.wav,long_grammatical,0
31,HDR_long_replacement/A2A1A3B3B1B2_82.wav,long_replacement,-2
32,HDR_long_replacement/A2A3A1B1B3B2_19.wav,long_replacement,-1
33,HDR_long_grammatical/A1A2A3B3B2B1_33.wav,long_grammatical,0
34,HDR_long_replacement/A1A2A3B3B2B1_27.wav,long_replacement,0
35,HDR_long_replacement/A3A1A2B2B1B3_25.wav,long_replacement,-2
36,HDR_long_grammatical/A3A2A1B1B2B3_364.wav,long_grammatical,0
37,HDR_long_grammatical/A3A2A1B1B2B3_334.wav,long_grammatical,0
38,HDR_long_replacement/A3A2A1B1B2B3_89.wav,long_replacement,-2
39,HDR_long_grammatical/A3A2A1B1B2B3_323.wav,long_grammatical,0
40,HDR_long_grammatical/A2A3A1B1B3B2_100.wav,long_grammatical,0
41,HDR_long_grammatical/A2A3A1B1B3B2_88.wav,long_grammatical,0
42,HDR_long_grammatical/A3A1A2B2B1B3_132.wav,long_grammatical,0
43,HDR_long_grammatical/A1A2A3B3B2B1_13.wav,long_grammatical,0
44,HDR_long_grammatical/A1A2A3B3B2B1_22.wav,long_grammatical,0
45,HDR_long_grammatical/A2A3A1B1B3B2_72.wav,long_grammatical,0
46,HDR_long_grammatical/A3A2A1B1B2B3_380.wav,long_grammatical,0
