trial_index,audio_filename,condition,position
1,ABABAB.wav,habituation,0
2,ABABAB.wav,habituation,0
3,ABABAB.wav,habituation,0
4,ABABAB.wav,habituation,0
5,ABABAB.wav,habituation,0
6,ABABAB.wav,habituation,0
7,ABABAB.wav,habituation,0
8,ABABAB.wav,habituation,0
9,ABABAB.wav,habituation,0
10,ABABAB.wav,habituation,0
46,ABABBB.wav,violation,5
45,ABABAB.wav,standard,0
46,ABABBB.wav,violation,5
45,ABABAB.wav,standard,0
45,ABABAB.wav,standard,0
46,ABABBB.wav,violation,5
37,ABAAAB.wav,violation,4
37,ABAAAB.wav,violation,4
46,ABABBB.wav,violation,5
45,ABABAB.wav,standard,0
45,ABABAB.wav,standard,0
37,ABAAAB.wav,violation,4
45,ABABAB.wav,standard,0
45,ABABAB.wav,standard,0
44,ABABAA.wav,violation,6
37,ABAAAB.wav,violation,4
44,ABABAA.wav,violation,6
44,ABABAA.wav,violation,6
45,ABABAB.wav,standard,0
44,ABABAA.wav,violation,6
46,ABABBB.wav,violation,5
45,ABABAB.wav,standard,0
37,ABAAAB.wav,violation,4
37,ABAAAB.wav,violation,4
44,ABABAA.wav,violation,6
37,ABAAAB.wav,violation,4
37,ABAAAB.wav,violation,4
46,ABABBB.wav,violation,5
44,ABABAA.wav,violation,6
45,ABABAB.wav,standard,0
46,ABABBB.wav,violation,5
44,ABABAA.wav,violation,6
45,ABABAB.wav,standard,0
44,ABABAA.wav,violation,6
45,ABABAB.wav,standard,0
46,ABABBB.wav,violation,5
