trial_index,audio_filename,condition,position
1,AAABBABAABBB.wav,habituation,0
2,AAABBABAABBB.wav,habituation,0
3,AAABBABAABBB.wav,habituation,0
4,AAABBABAABBB.wav,habituation,0
5,AAABBABAABBB.wav,habituation,0
6,AAABBABAABBB.wav,habituation,0
7,AAABBABAABBB.wav,habituation,0
8,AAABBABAABBB.wav,habituation,0
9,AAABBABAABBB.wav,habituation,0
10,AAABBABAABBB.wav,habituation,0
36,AAABBABAABBB.wav,standard,0
45,AAABBAAAABBB.wav,violation,7
36,AAABBABAABBB.wav,standard,0
44,AAABBABABBBB.wav,violation,9
46,AAABBABAABAB.wav,violation,11
36,AAABBABAABBB.wav,standard,0
39,AAABBABAAABB.wav,violation,10
45,AAABBAAAABBB.wav,violation,7
36,AAABBABAABBB.wav,standard,0
46,AAABBABAABAB.wav,violation,11
36,AAABBABAABBB.wav,standard,0
36,AAABBABAABBB.wav,standard,0
39,AAABBABAAABB.wav,violation,10
44,AAABBABABBBB.wav,violation,9
36,AAABBABAABBB.wav,standard,0
45,AAABBAAAABBB.wav,violation,7
36,AAABBABAABBB.wav,standard,0
46,AAABBABAABAB.wav,violation,11
46,AAABBABAABAB.wav,violation,11
36,AAABBABAABBB.wav,standard,0
36,AAABBABAABBB.wav,standard,0
36,AAABBABAABBB.wav,standard,0
45,AAABBAAAABBB.wav,violation,7
39,AAABBABAAABB.wav,violation,10
39,AAABBABAAABB.wav,violation,10
36,AAABBABAABBB.wav,standard,0
44,AAABBABABBBB.wav,violation,9
39,AAABBABAAABB.wav,violation,10
39,AAABBABAAABB.wav,violation,10
45,AAABBAAAABBB.wav,violation,7
46,AAABBABAABAB.wav,violation,11
44,AAABBABABBBB.wav,violation,9
44,AAABBABABBBB.wav,violation,9
44,AAABBABABBBB.wav,violation,9
45,AAABBAAAABBB.wav,violation,7
46,AAABBABAABAB.wav,violation,11
