trial_index,audio_filename,condition,position
1,AAAABBBBAAAABBBB.wav,habituation,0
2,AAAABBBBAAAABBBB.wav,habituation,0
3,AAAABBBBAAAABBBB.wav,habituation,0
4,AAAABBBBAAAABBBB.wav,habituation,0
5,AAAABBBBAAAABBBB.wav,habituation,0
6,AAAABBBBAAAABBBB.wav,habituation,0
7,AAAABBBBAAAABBBB.wav,habituation,0
8,AAAABBBBAAAABBBB.wav,habituation,0
9,AAAABBBBAAAABBBB.wav,habituation,0
10,AAAABBBBAAAABBBB.wav,habituation,0
45,AAAABBBBBAAABBBB.wav,violation,9
44,AAAABBBBAAAABBBB.wav,standard,0
44,AAAABBBBAAAABBBB.wav,standard,0
44,AAAABBBBAAAABBBB.wav,standard,0
38,AAAABBBBAAAABBAB.wav,violation,15
38,AAAABBBBAAAABBAB.wav,violation,15
44,AAAABBBBAAAABBBB.wav,standard,0
44,AAAABBBBAAAABBBB.wav,standard,0
44,AAAABBBBAAAABBBB.wav,standard,0
39,AAAABBBBAAAAABBB.wav,violation,13
46,AAAABBBBAAABBBBB.wav,violation,12
38,AAAABBBBAAAABBAB.wav,violation,15
38,AAAABBBBAAAABBAB.wav,violation,15
39,AAAABBBBAAAAABBB.wav,violation,13
39,AAAABBBBAAAAABBB.wav,violation,13
45,AAAABBBBBAAABBBB.wav,violation,9
39,AAAABBBBAAAAABBB.wav,violation,13
44,AAAABBBBAAAABBBB.wav,standard,0
38,AAAABBBBAAAABBAB.wav,violation,15
39,AAAABBBBAAAAABBB.wav,violation,13
44,AAAABBBBAAAABBBB.wav,standard,0
46,AAAABBBBAAABBBBB.wav,violation,12
46,AAAABBBBAAABBBBB.wav,violation,12
44,AAAABBBBAAAABBBB.wav,standard,0
45,AAAABBBBBAAABBBB.wav,violation,9
45,AAAABBBBBAAABBBB.wav,violation,9
44,AAAABBBBAAAABBBB.wav,standard,0
38,AAAABBBBAAAABBAB.wav,violation,15
39,AAAABBBBAAAAABBB.wav,violation,13
44,AAAABBBBAAAABBBB.wav,standard,0
46,AAAABBBBAAABBBBB.wav,violation,12
46,AAAABBBBAAABBBBB.wav,violation,12
45,AAAABBBBBAAABBBB.wav,violation,9
44,AAAABBBBAAAABBBB.wav,standard,0
45,AAAABBBBBAAABBBB.wav,violation,9
46,AAAABBBBAAABBBBB.wav,violation,12
