trial_index,audio_filename,condition
1,AAABBBAABBAB.wav,habituation
2,AAABBBAABBAB.wav,habituation
3,AAABBBAABBAB.wav,habituation
4,AAABBBAABBAB.wav,habituation
5,AAABBBAABBAB.wav,habituation
6,AAABBBAABBAB.wav,habituation
7,AAABBBAABBAB.wav,habituation
8,AAABBBAABBAB.wav,habituation
9,AAABBBAABBAB.wav,habituation
10,AAABBBAABBAB.wav,habituation
44,AAABBBAABBBB.wav,test
43,AAABBBABBBAB.wav,test
46,AAABBBAABBAB.wav,test
46,AAABBBAABBAB.wav,test
45,AAABBBAABAAB.wav,test
45,AAABBBAABAAB.wav,test
43,AAABBBABBBAB.wav,test
46,AAABBBAABBAB.wav,test
46,AAABBBAABBAB.wav,test
46,AAABBBAABBAB.wav,test
45,AAABBBAABAAB.wav,test
43,AAABBBABBBAB.wav,test
46,AAABBBAABBAB.wav,test
38,AAABBBAAABAB.wav,test
43,AAABBBABBBAB.wav,test
44,AAABBBAABBBB.wav,test
44,AAABBBAABBBB.wav,test
38,AAABBBAAABAB.wav,test
38,AAABBBAAABAB.wav,test
38,AAABBBAAABAB.wav,test
46,AAABBBAABBAB.wav,test
46,AAABBBAABBAB.wav,test
46,AAABBBAABBAB.wav,test
46,AAABBBAABBAB.wav,test
45,AAABBBAABAAB.wav,test
44,AAABBBAABBBB.wav,test
38,AAABBBAAABAB.wav,test
38,AAABBBAAABAB.wav,test
45,AAABBBAABAAB.wav,test
46,AAABBBAABBAB.wav,test
43,AAABBBABBBAB.wav,test
44,AAABBBAABBBB.wav,test
43,AAABBBABBBAB.wav,test
44,AAABBBAABBBB.wav,test
45,AAABBBAABAAB.wav,test
46,AAABBBAABBAB.wav,test
