trial_index,audio_filename,condition
1,ADR_long_grammatical/A3B3A1B1A2B2_304.wav,long_grammatical
2,ADR_long_grammatical/A1B1A2B2A3B3_23.wav,long_grammatical
3,ADR_long_grammatical/A2B2A3B3A1B1_217.wav,long_grammatical
4,ADR_long_grammatical/A1B1A2B2A3B3_45.wav,long_grammatical
5,ADR_long_grammatical/A1B1A2B2A3B3_17.wav,long_grammatical
6,ADR_long_grammatical/A3B3A1B1A2B2_318.wav,long_grammatical
7,ADR_long_grammatical/A3B3A2B2A1B1_328.wav,long_grammatical
8,ADR_short_grammatical/A1B1A2B2_6.wav,short_grammatical
9,ADR_long_grammatical/A2B2A1B1A3B3_144.wav,long_grammatical
10,ADR_long_grammatical/A3B3A1B1A2B2_294.wav,long_grammatical
11,ADR_long_grammatical/A3B3A2B2A1B1_336.wav,long_grammatical
12,ADR_long_grammatical/A1B1A3B3A2B2_97.wav,long_grammatical
13,ADR_long_grammatical/A2B2A1B1A3B3_183.wav,long_grammatical
14,ADR_short_grammatical/A1B1A3B3_32.wav,short_grammatical
15,ADR_long_grammatical/A3B3A2B2A1B1_366.wav,long_grammatical
16,ADR_long_grammatical/A3B3A1B1A2B2_265.wav,long_grammatical
17,ADR_long_grammatical/A3B3A2B2A1B1_325.wav,long_grammatical
18,ADR_long_grammatical/A1B1A2B2A3B3_54.wav,long_grammatical
19,ADR_long_grammatical/A3B3A1B1A2B2_259.wav,long_grammatical
20,ADR_long_grammatical/A2B2A3B3A1B1_209.wav,long_grammatical
21,ADR_long_grammatical/A1B1A2B2A3B3_57.wav,long_grammatical
22,ADR_short_concatenation/A3B3A2B2_19.wav,short_concatenation
23,ADR_long_grammatical/A1B1A3B3A2B2_124.wav,long_grammatical
24,ADR_short_grammatical/A3B3A1B1_60.wav,short_grammatical
25,ADR_short_concatenation/A1B1A3B3_22.wav,short_concatenation
26,ADR_long_grammatical/A1B1A3B3A2B2_64.wav,long_grammatical
27,ADR_long_grammatical/A1B1A3B3A2B2_90.wav,long_grammatical
28,ADR_long_grammatical/A2B2A3B3A1B1_235.wav,long_grammatical
29,ADR_long_grammatical/A2B2A3B3A1B1_244.wav,long_grammatical
30,ADR_long_grammatical/A2B2A3B3A1B1_220.wav,long_grammatical
31,ADR_long_grammatical/A3B3A1B1A2B2_305.wav,long_grammatical
32,ADR_long_grammatical/A2B2A1B1A3B3_152.wav,long_grammatical
33,ADR_long_grammatical/A3B3A1B1A2B2_272.wav,long_grammatical
34,ADR_long_replacement/A3B3A1B1A2B2_33.wav,long_replacement
35,ADR_long_grammatical/A2B2A1B1A3B3_142.wav,long_grammatical
36,ADR_long_replacement/A3B3A1B1A2B2_10.wav,long_replacement
37,ADR_long_grammatical/A2B2A3B3A1B1_251.wav,long_grammatical
38,ADR_long_grammatical/A2B2A1B1A3B3_180.wav,long_grammatical
39,ADR_long_grammatical/A2B2A1B1A3B3_129.wav,long_grammatical
40,ADR_long_replacement/A1B1A2B2A3B3_17.wav,long_replacement
41,ADR_short_grammatical/A3B3A1B1_63.wav,short_grammatical
42,ADR_short_grammatical/A3B3A1B1_51.wav,short_grammatical
43,ADR_long_concatenation/A2B2A1B1A3B3_40.wav,long_concatenation
44,ADR_long_replacement/A2B2A1B1A3B3_6.wav,long_replacement
45,ADR_long_concatenation/A1B1A3B3A2B2_20.wav,long_concatenation
46,ADR_long_grammatical/A3B3A2B2A1B1_372.wav,long_grammatical
47,ADR_long_grammatical/A2B2A3B3A1B1_206.wav,long_grammatical
48,ADR_long_grammatical/A3B3A1B1A2B2_279.wav,long_grammatical
49,ADR_short_replacement/A3B3A2B2_33.wav,short_replacement
50,ADR_long_grammatical/A3B3A1B1A2B2_313.wav,long_grammatical
51,ADR_long_grammatical/A2B2A1B1A3B3_130.wav,long_grammatical
52,ADR_long_grammatical/A2B2A3B3A1B1_230.wav,long_grammatical
53,ADR_long_grammatical/A2B2A1B1A3B3_166.wav,long_grammatical
54,ADR_short_grammatical/A1B1A3B3_42.wav,short_grammatical
55,ADR_long_grammatical/A3B3A1B1A2B2_314.wav,long_grammatical
56,ADR_short_grammatical/A2B2A1B1_19.wav,short_grammatical
57,ADR_long_grammatical/A1B1A3B3A2B2_112.wav,long_grammatical
58,ADR_short_grammatical/A2B2A3B3_71.wav,short_grammatical
59,ADR_long_grammatical/A2B2A1B1A3B3_148.wav,long_grammatical
60,ADR_short_grammatical/A3B3A2B2_94.wav,short_grammatical
61,ADR_long_concatenation/A2B2A3B3A1B1_2.wav,long_concatenation
62,ADR_long_grammatical/A3B3A2B2A1B1_347.wav,long_grammatical
63,ADR_short_grammatical/A3B3A1B1_48.wav,short_grammatical
64,ADR_long_replacement/A2B2A1B1A3B3_38.wav,long_replacement
65,ADR_long_grammatical/A3B3A2B2A1B1_351.wav,long_grammatical
66,ADR_long_replacement/A2B2A1B1A3B3_8.wav,long_replacement
67,ADR_long_grammatical/A2B2A3B3A1B1_231.wav,long_grammatical
68,ADR_long_grammatical/A2B2A1B1A3B3_174.wav,long_grammatical
69,ADR_short_grammatical/A2B2A1B1_17.wav,short_grammatical
70,ADR_long_grammatical/A2B2A1B1A3B3_188.wav,long_grammatical
71,ADR_short_grammatical/A1B1A2B2_11.wav,short_grammatical
72,ADR_long_grammatical/A2B2A1B1A3B3_158.wav,long_grammatical
73,ADR_long_replacement/A3B3A2B2A1B1_26.wav,long_replacement
