pattern,seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6,position
A1A2A3B3B2B1,seq_0000,A1_i_b.wav,A2_e_d.wav,A3_e_g.wav,A1_i_b.wav,B2_u_t.wav,B1_u_p.wav,-3
A1A3A2B2B3B1,seq_0001,A1_e_b.wav,A3_i_g.wav,A2_i_d.wav,A3_e_g.wav,B3_u_k.wav,B1_u_p.wav,-3
A2A3A1B1B3B2,seq_0002,A2_i_d.wav,A3_e_g.wav,A1_i_b.wav,A3_e_g.wav,B3_u_k.wav,B2_o_t.wav,-3
A1A3A2B2B3B1,seq_0003,A1_i_b.wav,A3_e_g.wav,A2_i_d.wav,A2_i_d.wav,B3_o_k.wav,B1_o_p.wav,-3
A2A3A1B1B3B2,seq_0004,A2_i_d.wav,A3_e_g.wav,A1_i_b.wav,A2_i_d.wav,B3_u_k.wav,B2_o_t.wav,-3
A2A3A1B1B3B2,seq_0005,A2_i_d.wav,A3_i_g.wav,A1_e_b.wav,A1_e_b.wav,B3_u_k.wav,B2_u_t.wav,-3
A3A1A2B2B1B3,seq_0006,A3_i_g.wav,A1_e_b.wav,A2_i_d.wav,A3_i_g.wav,B1_o_p.wav,B3_o_k.wav,-3
A2A3A1B1B3B2,seq_0007,A2_e_d.wav,A3_e_g.wav,A1_i_b.wav,A1_i_b.wav,B3_u_k.wav,B2_u_t.wav,-3
A1A3A2B2B3B1,seq_0008,A1_i_b.wav,A3_i_g.wav,A2_e_d.wav,A1_i_b.wav,B3_o_k.wav,B1_u_p.wav,-3
A1A2A3B3B2B1,seq_0009,A1_e_b.wav,A2_e_d.wav,A3_e_g.wav,A2_e_d.wav,B2_o_t.wav,B1_u_p.wav,-3
A3A1A2B2B1B3,seq_0010,A3_e_g.wav,A1_e_b.wav,A2_i_d.wav,A1_e_b.wav,B1_o_p.wav,B3_u_k.wav,-3
A2A3A1B1B3B2,seq_0011,A2_e_d.wav,A3_e_g.wav,A1_i_b.wav,A3_i_g.wav,B3_u_k.wav,B2_o_t.wav,-3
A2A3A1B1B3B2,seq_0012,A2_e_d.wav,A3_e_g.wav,A1_e_b.wav,A2_e_d.wav,B3_u_k.wav,B2_o_t.wav,-3
A1A3A2B2B3B1,seq_0013,A1_e_b.wav,A3_i_g.wav,A2_e_d.wav,A1_i_b.wav,B3_o_k.wav,B1_o_p.wav,-3
A3A1A2B2B1B3,seq_0014,A3_e_g.wav,A1_e_b.wav,A2_e_d.wav,A1_e_b.wav,B1_o_p.wav,B3_o_k.wav,-3
A2A3A1B1B3B2,seq_0015,A2_e_d.wav,A3_i_g.wav,A1_i_b.wav,A3_e_g.wav,B3_o_k.wav,B2_u_t.wav,-3
A1A2A3B3B2B1,seq_0016,A1_i_b.wav,A2_i_d.wav,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,B1_o_p.wav,-3
