pattern,seqID,syll_1,syll_2,syll_3,syll_4,position
A2A1B1B2,seq_0000,A2_i_d.wav,A1_i_b.wav,B1_o_p.wav,B3_u_k.wav,-1
A1A2B2B1,seq_0001,A1_i_b.wav,A2_e_d.wav,B2_u_t.wav,B2_u_t.wav,-1
A3A1B1B3,seq_0002,A3_e_g.wav,A1_i_b.wav,B1_u_p.wav,B1_o_p.wav,-1
A1A2B2B1,seq_0003,A1_i_b.wav,A2_i_d.wav,B2_o_t.wav,B3_u_k.wav,-1
A3A2B2B3,seq_0004,A3_e_g.wav,A2_e_d.wav,B2_o_t.wav,B1_u_p.wav,-1
A3A2B2B3,seq_0005,A3_i_g.wav,A2_e_d.wav,B2_u_t.wav,B1_o_p.wav,-1
A3A2B2B3,seq_0006,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,B2_o_t.wav,-1
A3A1B1B3,seq_0007,A3_i_g.wav,A1_e_b.wav,B1_o_p.wav,B1_o_p.wav,-1
A2A1B1B2,seq_0008,A2_e_d.wav,A1_i_b.wav,B1_o_p.wav,B1_o_p.wav,-1
A1A3B3B1,seq_0009,A1_e_b.wav,A3_i_g.wav,B2_u_t.wav,B1_o_p.wav,-2
A1A2B2B1,seq_0010,A1_e_b.wav,A2_e_d.wav,B3_o_k.wav,B1_u_p.wav,-2
A1A2B2B1,seq_0011,A1_e_b.wav,A2_i_d.wav,B3_u_k.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0012,A1_i_b.wav,A3_e_g.wav,B3_o_k.wav,B2_o_t.wav,-1
A1A2B2B1,seq_0013,A1_e_b.wav,A2_i_d.wav,B3_u_k.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0014,A1_e_b.wav,A3_i_g.wav,B2_u_t.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0015,A1_i_b.wav,A3_i_g.wav,B3_o_k.wav,B3_o_k.wav,-1
A1A3B3B1,seq_0016,A1_i_b.wav,A3_i_g.wav,B3_u_k.wav,B2_o_t.wav,-1
A3A2B2B3,seq_0017,A3_i_g.wav,A2_i_d.wav,B3_u_k.wav,B3_u_k.wav,-2
A2A1B1B2,seq_0018,A2_e_d.wav,A1_e_b.wav,B3_o_k.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0019,A2_i_d.wav,A1_i_b.wav,B1_u_p.wav,B1_u_p.wav,-1
A2A3B3B2,seq_0020,A2_e_d.wav,A3_e_g.wav,B3_u_k.wav,B3_u_k.wav,-1
A3A1B1B3,seq_0021,A3_e_g.wav,A1_i_b.wav,B1_o_p.wav,B1_o_p.wav,-1
A2A3B3B2,seq_0022,A2_i_d.wav,A3_e_g.wav,B3_o_k.wav,B1_u_p.wav,-1
A2A1B1B2,seq_0023,A2_e_d.wav,A1_i_b.wav,B2_u_t.wav,B2_u_t.wav,-2
A3A2B2B3,seq_0024,A3_e_g.wav,A2_i_d.wav,B2_u_t.wav,B2_o_t.wav,-1
A2A1B1B2,seq_0025,A2_e_d.wav,A1_i_b.wav,B2_o_t.wav,B2_o_t.wav,-2
A1A2B2B1,seq_0026,A1_i_b.wav,A2_e_d.wav,B2_u_t.wav,B3_o_k.wav,-1
A3A1B1B3,seq_0027,A3_e_g.wav,A1_e_b.wav,B2_o_t.wav,B3_o_k.wav,-2
A2A1B1B2,seq_0028,A2_i_d.wav,A1_i_b.wav,B1_u_p.wav,B3_u_k.wav,-1
A3A1B1B3,seq_0029,A3_i_g.wav,A1_i_b.wav,B1_u_p.wav,B1_u_p.wav,-1
A2A3B3B2,seq_0030,A2_i_d.wav,A3_i_g.wav,B2_u_t.wav,B2_u_t.wav,-2
A3A2B2B3,seq_0031,A3_i_g.wav,A2_i_d.wav,B2_u_t.wav,B1_u_p.wav,-1
A3A1B1B3,seq_0032,A3_i_g.wav,A1_e_b.wav,B3_u_k.wav,B3_u_k.wav,-2
A1A3B3B1,seq_0033,A1_i_b.wav,A3_e_g.wav,B2_o_t.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0034,A2_e_d.wav,A1_e_b.wav,B1_o_p.wav,B3_o_k.wav,-1
A2A3B3B2,seq_0035,A2_e_d.wav,A3_e_g.wav,B3_o_k.wav,B3_o_k.wav,-1
A3A1B1B3,seq_0036,A3_i_g.wav,A1_i_b.wav,B3_o_k.wav,B3_u_k.wav,-2
A1A3B3B1,seq_0037,A1_i_b.wav,A3_e_g.wav,B1_o_p.wav,B1_o_p.wav,-2
A1A2B2B1,seq_0038,A1_e_b.wav,A2_e_d.wav,B2_o_t.wav,B2_o_t.wav,-1
A3A1B1B3,seq_0039,A3_e_g.wav,A1_e_b.wav,B2_o_t.wav,B3_u_k.wav,-2
A3A1B1B3,seq_0040,A3_i_g.wav,A1_i_b.wav,B2_u_t.wav,B3_o_k.wav,-2
A2A3B3B2,seq_0041,A2_e_d.wav,A3_e_g.wav,B1_u_p.wav,B2_u_t.wav,-2
A1A3B3B1,seq_0042,A1_i_b.wav,A3_e_g.wav,B1_u_p.wav,B1_u_p.wav,-2
A1A3B3B1,seq_0043,A1_e_b.wav,A3_e_g.wav,B1_o_p.wav,B1_o_p.wav,-2
A2A3B3B2,seq_0044,A2_e_d.wav,A3_i_g.wav,B1_u_p.wav,B2_u_t.wav,-2
A1A2B2B1,seq_0045,A1_e_b.wav,A2_i_d.wav,B3_o_k.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0046,A2_i_d.wav,A1_i_b.wav,B3_o_k.wav,B2_o_t.wav,-2
A2A3B3B2,seq_0047,A2_e_d.wav,A3_i_g.wav,B2_o_t.wav,B2_o_t.wav,-2
A3A2B2B3,seq_0048,A3_i_g.wav,A2_e_d.wav,B3_u_k.wav,B3_u_k.wav,-2
A2A1B1B2,seq_0049,A2_e_d.wav,A1_e_b.wav,B1_u_p.wav,B1_u_p.wav,-1
