pattern,seqID,syll_1,syll_2,syll_3,syll_4,position
A1A3B3B1,seq_0000,A1_e_b.wav,A3_e_g.wav,A2_e_d.wav,B1_u_p.wav,-2
A3A2B2B3,seq_0001,A3_e_g.wav,A2_i_d.wav,A3_e_g.wav,B3_o_k.wav,-2
A1A2B2B1,seq_0002,A1_i_b.wav,A2_e_d.wav,A2_e_d.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0003,A2_e_d.wav,A1_i_b.wav,A3_i_g.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0004,A2_i_d.wav,A1_i_b.wav,A3_i_g.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0005,A2_e_d.wav,A1_i_b.wav,A1_i_b.wav,B2_o_t.wav,-2
A2A3B3B2,seq_0006,A2_e_d.wav,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,-2
A1A2B2B1,seq_0007,A1_i_b.wav,A2_e_d.wav,A1_e_b.wav,B1_u_p.wav,-2
A3A2B2B3,seq_0008,A3_i_g.wav,A2_i_d.wav,A3_e_g.wav,B3_o_k.wav,-2
A1A2B2B1,seq_0009,A1_e_b.wav,A2_e_d.wav,A3_e_g.wav,B1_o_p.wav,-2
A3A1B1B3,seq_0010,A3_e_g.wav,A1_i_b.wav,A1_e_b.wav,B3_o_k.wav,-2
A3A1B1B3,seq_0011,A3_i_g.wav,A1_e_b.wav,A2_e_d.wav,B3_u_k.wav,-2
A2A3B3B2,seq_0012,A2_i_d.wav,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,-2
A3A1B1B3,seq_0013,A3_i_g.wav,A1_i_b.wav,A2_i_d.wav,B3_o_k.wav,-2
A1A3B3B1,seq_0014,A1_e_b.wav,A3_i_g.wav,A1_i_b.wav,B1_u_p.wav,-2
A1A2B2B1,seq_0015,A1_e_b.wav,A2_i_d.wav,A2_e_d.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0016,A2_i_d.wav,A1_i_b.wav,A1_i_b.wav,B2_u_t.wav,-2
A1A3B3B1,seq_0017,A1_e_b.wav,A3_i_g.wav,A2_i_d.wav,B1_o_p.wav,-2
A2A3B3B2,seq_0018,A2_i_d.wav,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,-2
A3A1B1B3,seq_0019,A3_i_g.wav,A1_e_b.wav,A1_i_b.wav,B3_o_k.wav,-2
A3A2B2B3,seq_0020,A3_i_g.wav,A2_e_d.wav,A2_i_d.wav,B3_o_k.wav,-2
A2A3B3B2,seq_0021,A2_i_d.wav,A3_i_g.wav,A2_i_d.wav,B2_u_t.wav,-2
A3A2B2B3,seq_0022,A3_i_g.wav,A2_i_d.wav,A3_e_g.wav,B3_u_k.wav,-2
A2A1B1B2,seq_0023,A2_i_d.wav,A1_e_b.wav,A1_i_b.wav,B2_u_t.wav,-2
A3A1B1B3,seq_0024,A3_e_g.wav,A1_i_b.wav,A2_i_d.wav,B3_o_k.wav,-2
A1A2B2B1,seq_0025,A1_i_b.wav,A2_i_d.wav,A2_e_d.wav,B1_o_p.wav,-2
A2A3B3B2,seq_0026,A2_e_d.wav,A3_i_g.wav,A1_e_b.wav,B2_u_t.wav,-2
